,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Team1,Team2,Result
9,Group stage,1.0,Wed,10/21/2020,18:55 (19:55),RB Salzburg at,1.1,2–2,0.8,ru Loko Moscow,"3,000",Red Bull Arena,Serdar Gözübüyük,Match Report,,2,2,0
10,Group stage,1.0,Wed,10/21/2020,20:00 (22:00),Manchester City eng,1.5,3–1,0.2,pt Porto,,Etihad Stadium,Andris Treimanis,Match Report,,3,1,1
11,Group stage,1.0,Wed,10/21/2020,21:00 (22:00),Bayern Munich de,2.6,4–0,0.4,es Atlético Madrid,,Allianz Arena,Michael Oliver,Match Report,,4,0,1
12,Group stage,1.0,Wed,10/21/2020,21:00 (22:00),Inter it,2.8,2–2,1.4,de M'Gladbach,"1,000",Stadio Giuseppe Meazza,Björn Kuipers,Match Report,,2,2,0
13,Group stage,1.0,Wed,10/21/2020,21:00 (22:00),Ajax nl,1.4,0–1,1.1,eng Liverpool,,Johan Cruyff ArenA,Felix Brych,Match Report,,0,1,2
14,Group stage,1.0,Wed,10/21/2020,21:00 (22:00),Midtjylland dk,0.8,0–4,2.5,it Atalanta,132,MCH Arena,Artur Soares Dias,Match Report,,0,4,2
15,Group stage,1.0,Wed,10/21/2020,22:00,Olympiacos gr,1.0,1–0,0.9,fr Marseille,,Stadio Georgios Karaiskáki,Daniele Orsato,Match Report,,1,0,1
17,Group stage,2.0,Tue,10/27/2020,19:55 (20:55),Shakhtar ua,0.1,0–0,1.7,it Inter,"10,178",Oblasny SportKomplex Metalist,Georgi Kabakov,Match Report,,0,0,0
18,Group stage,2.0,Tue,10/27/2020,20:00 (23:00),Liverpool eng,2.2,2–0,1.2,dk Midtjylland,,Anfield,Paweł Raczkowski,Match Report,,2,0,1
19,Group stage,2.0,Tue,10/27/2020,20:00 (23:00),Porto pt,1.4,2–0,1.0,gr Olympiacos,"2,450",Estádio Do Dragão,Daniel Siebert,Match Report,,2,0,1
20,Group stage,2.0,Tue,10/27/2020,20:55,Loko Moscow ru,1.5,1–2,3.2,de Bayern Munich,"8,196",RZD Arena,István Kovács,Match Report,,1,2,2
21,Group stage,2.0,Tue,10/27/2020,21:00 (23:00),Marseille fr,0.1,0–3,1.9,eng Manchester City,,Orange Vélodrome,Tobias Stieler,Match Report,,0,3,2
