Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,15,Sun,12/2/2018,17:00 (19:00),Marseille,0.8,0–0,0.7,Reims,"41,932",Orange Vélodrome,Nicolas Rainville,Match Report,
Regular season,15,Sun,12/2/2018,21:00 (23:00),Bordeaux,0.9,2–2,1.4,Paris S-G,"40,841",Stade Matmut-Atlantique,Franck Schneider,Match Report,
,,,,,,,,,,,,,,
Regular season,16,Tue,12/4/2018,19:00 (21:00),Amiens,0.6,0–2,1.8,Monaco,"11,048",Stade de la Licorne,Jérôme Brisard,Match Report,
Regular season,16,Tue,12/4/2018,19:00 (21:00),Nice,2.6,0–0,0.3,Angers,"14,123",Stade de Nice,Hakim Ben El Hadj Salem,Match Report,
Regular season,16,Tue,12/4/2018,21:00 (23:00),Montpellier,1.3,0–1,1.6,Lille,"12,486",Stade de la Mosson,Mikael Lesage,Match Report,
Regular season,16,Wed,12/5/2018,19:00 (21:00),Dijon,0.4,2–1,1.3,Guingamp,"11,711",Stade Gaston Gérard,Thomas Léonard,Match Report,
Regular season,16,Wed,12/5/2018,19:00 (21:00),Reims,1.6,0–1,1.1,Toulouse,"10,609",Stade Auguste-Delaune II,Jeremy Stinat,Match Report,
Regular season,16,Wed,12/5/2018,19:00 (21:00),Bordeaux,2.1,3–2,2,Saint-Étienne,"23,375",Stade Matmut-Atlantique,Clément Turpin,Match Report,
Regular season,16,Wed,12/5/2018,19:00 (21:00),Lyon,1.4,0–2,1.4,Rennes,"47,278",Groupama Stadium,Johan Hamel,Match Report,
Regular season,16,Wed,12/5/2018,19:00 (21:00),Caen,1,1–2,3,Nîmes,"14,501",Stade Michel d'Ornano,Florent Batta,Match Report,
Regular season,16,Wed,12/5/2018,19:00 (21:00),Nantes,1.4,3–2,1.3,Marseille,"32,663",Stade de la Beaujoire - Louis Fonteneau,François Letexier,Match Report,
Regular season,16,Wed,12/5/2018,21:00 (23:00),Strasbourg,1,1–1,2.3,Paris S-G,"25,702",Stade de la Meinau,Antony Gautier,Match Report,
,,,,,,,,,,,,,,
Regular season,17,Sat,12/8/2018,20:00 (22:00),Rennes,2.6,2–0,0.5,Dijon,"16,975",Roazhon Park,Nicolas Rainville,Match Report,
Regular season,17,Sat,12/8/2018,20:00 (22:00),Guingamp,1.4,1–2,1.6,Amiens,"14,089",Stade du Roudourou,Benoît Bastien,Match Report,
Regular season,17,Sun,12/9/2018,15:00 (17:00),Strasbourg,1.1,2–2,0.5,Caen,"25,048",Stade de la Meinau,Olivier Thual,Match Report,
Regular season,17,Sun,12/9/2018,17:00 (19:00),Lille,1.5,1–1,1.3,Reims,"26,826",Stade Pierre-Mauroy,Willy Delajod,Match Report,
,,,,,,,,,,,,,,
Regular season,18,Sat,12/15/2018,20:00 (22:00),Reims,0.6,2–1,0.4,Strasbourg,"12,171",Stade Auguste-Delaune II,Florent Batta,Match Report,
