Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Quarter-finals,,Thu,4/7/2022,20:00 (22:00),Braga pt,0.5,1–0,0.5,sct Rangers,"20,331",Estádio Municipal de Braga,Davide Massa,Match Report,Leg 1 of 2
Quarter-finals,,Thu,4/7/2022,20:00 (22:00),West Ham eng,0.4,1–1,2.9,fr Lyon,"59,978",London Stadium,Felix Zwayer,Match Report,Leg 1 of 2
Quarter-finals,,Thu,4/7/2022,21:00 (22:00),Eint Frankfurt de,1.4,1–1,0.9,es Barcelona,"48,000",Deutsche Bank Park,Srđan Jovanović,Match Report,Leg 1 of 2
Quarter-finals,,Thu,4/14/2022,18:45 (19:45),Atalanta it,1.3,0–2,2.4,de RB Leipzig,"17,905",Stadio Atleti Azzurri d'Italia,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; RB Leipzig won
Quarter-finals,,Thu,4/14/2022,20:00 (22:00),Rangers sct,6,3–1,0.5,pt Braga,"48,894",Ibrox Stadium,François Letexier,Match Report,Leg 2 of 2; Rangers won; Required Extra Time
Quarter-finals,,Thu,4/14/2022,21:00 (22:00),Lyon fr,1.7,0–3,1.3,eng West Ham,"50,065",Groupama Stadium,Sandro Schärer,Match Report,Leg 2 of 2; West Ham won
Quarter-finals,,Thu,4/14/2022,21:00 (22:00),Barcelona es,2.6,2–3,2,de Eint Frankfurt,"79,468",Camp Nou,Artur Dias,Match Report,Leg 2 of 2; Eint Frankfurt won
Semi-finals,,Thu,4/28/2022,20:00 (22:00),West Ham eng,2.4,1–2,1.6,de Eint Frankfurt,"60,000",London Stadium,Serdar Gözübüyük,Match Report,Leg 1 of 2
Semi-finals,,Thu,4/28/2022,21:00 (22:00),RB Leipzig de,1,1–0,0.3,sct Rangers,"40,303",Red Bull Arena,Benoît Bastien,Match Report,Leg 1 of 2
Semi-finals,,Thu,5/5/2022,20:00 (22:00),Rangers sct,2,3–1,1.3,de RB Leipzig,"49,397",Ibrox Stadium,Artur Dias,Match Report,Leg 2 of 2; Rangers won
Semi-finals,,Thu,5/5/2022,21:00 (22:00),Eint Frankfurt de,1.1,1–0,1.6,eng West Ham,"48,000",Deutsche Bank Park,Jesús Gil,Match Report,Leg 2 of 2; Eint Frankfurt won
Final,,Wed,5/18/2022,21:00 (22:00),Eint Frankfurt de,1.9,(5) 1–1 (4),1.1,sct Rangers,,Estadio Ramón Sánchez Pizjuán,Slavko Vinčič,Match Report,Eint Frankfurt won on penalty kicks following extra time
